,Date,Location,Type,Suspect_In_Custody,Weapon_Involved
0,2023-03-03,Suburban,Speeding,Yes,False
1,2023-03-03,Suburban,Blackmail,Yes,False
2,2023-03-02,Urban,Theft,No,True
3,2023-03-02,Urban,Theft,No,True
4,2023-03-02,Suburban,Theft,No,False
5,2023-03-02,Urban,Speeding,Yes,False
6,2023-03-02,Rural,Jaywalking,No,False
7,2023-03-02,Urban,Theft,No,False
8,2023-03-01,Urban,Jaywalking,No,False
9,2023-03-01,Urban,Speeding,No,False
10,2023-03-01,Urban,Theft,No,True
11,2023-02-28,Urban,Jaywalking,No,False
12,2023-02-28,Rural,Theft,No,False
13,2023-02-28,Suburban,Speeding,No,False
14,2023-02-28,Urban,Theft,No,True
15,2023-02-28,Urban,Theft,No,True
16,2023-02-28,Urban,Theft,No,True
17,2023-02-28,Urban,Theft,No,False
18,2023-02-28,Suburban,Theft,No,False
19,2023-02-27,Suburban,Blackmail,No,False
20,2023-02-27,Suburban,Blackmail,No,False
21,2023-02-27,Rural,Fraud,No,False
22,2023-02-27,Urban,Fraud,No,False
23,2023-02-27,Suburban,Speeding,No,False
24,2023-02-27,Suburban,Fraud,No,False
25,2023-02-27,Rural,Theft,Yes,False
26,2023-02-27,Urban,Theft,No,False
27,2023-02-27,Rural,Jaywalking,No,False
28,2023-02-27,Suburban,Theft,Yes,True
29,2023-02-25,Rural,Jaywalking,Yes,False
30,2023-02-25,Urban,Jaywalking,No,False
31,2023-02-25,Suburban,Theft,No,True
32,2023-02-25,Urban,Theft,Yes,False
33,2023-02-25,Urban,Theft,No,True
34,2023-02-25,Rural,Theft,No,False
35,2023-02-25,Suburban,Speeding,No,False
36,2023-02-25,Urban,Theft,Yes,True
37,2023-02-25,Suburban,Jaywalking,Yes,False
38,2023-02-25,Urban,Theft,No,False
39,2023-02-20,Urban,Theft,No,True
40,2023-02-20,Urban,Theft,No,False
41,2023-02-20,Suburban,Theft,Yes,False
42,2023-02-20,Urban,Speeding,No,False
43,2023-02-20,Urban,Jaywalking,Yes,False
44,2023-02-20,Urban,Theft,Yes,True
45,2023-02-20,Urban,Speeding,No,False
46,2023-02-18,Rural,Blackmail,Yes,False
47,2023-02-18,Suburban,Jaywalking,No,False
48,2023-02-18,Urban,Jaywalking,No,False
49,2023-02-18,Rural,Theft,No,False
50,2023-02-18,Urban,Speeding,Yes,False
51,2023-02-18,Suburban,Theft,No,False
52,2023-02-18,Urban,Jaywalking,No,False
53,2023-02-18,Rural,Jaywalking,No,False
54,2023-02-18,Rural,Jaywalking,No,False
55,2023-02-17,Suburban,Theft,No,False
56,2023-02-17,Suburban,Speeding,No,False
57,2023-02-17,Rural,Theft,No,False
58,2023-02-17,Rural,Jaywalking,No,False
59,2023-02-17,Urban,Theft,No,True
60,2023-02-17,Suburban,Jaywalking,No,False
61,2023-02-17,Urban,Speeding,No,False
62,2023-02-17,Urban,Blackmail,No,False
63,2023-02-17,Rural,Car theft,No,False
64,2023-02-17,Suburban,Jaywalking,No,False
65,2023-02-16,Urban,Jaywalking,No,False
66,2023-02-16,Suburban,Speeding,Yes,False
67,2023-02-16,Suburban,Theft,No,True
68,2023-02-16,Urban,Theft,No,False
69,2023-02-16,Rural,Theft,No,False
70,2023-02-16,Urban,Speeding,No,False
71,2023-02-16,Rural,Theft,No,True
72,2023-02-16,Suburban,Jaywalking,No,False
73,2023-02-16,Suburban,Fraud,No,False
74,2023-02-16,Urban,Theft,No,False
75,2023-02-15,Urban,Theft,No,True
76,2023-02-14,Urban,Jaywalking,Yes,False
77,2023-02-14,Urban,Jaywalking,Yes,False
78,2023-02-14,Rural,Blackmail,No,False
79,2023-02-14,Rural,Theft,No,False
80,2023-02-14,Urban,Jaywalking,Yes,False
81,2023-02-14,Urban,Speeding,No,False
82,2023-02-14,Urban,Blackmail,Yes,False
83,2023-02-14,Suburban,Speeding,No,False
84,2023-02-13,Urban,Speeding,No,False
85,2023-02-13,Rural,Theft,No,True
86,2023-02-13,Urban,Fraud,No,False
87,2023-02-13,Suburban,Speeding,No,False
88,2023-02-13,Urban,Jaywalking,No,False
89,2023-02-13,Urban,Speeding,No,False
90,2023-02-13,Suburban,Theft,No,False
91,2023-02-12,Rural,Speeding,No,False
92,2023-02-12,Suburban,Jaywalking,No,False
93,2023-02-12,Urban,Theft,No,False
94,2023-02-12,Urban,Speeding,No,False
95,2023-02-12,Urban,Jaywalking,No,False
96,2023-02-12,Urban,Jaywalking,No,False
97,2023-02-12,Suburban,Theft,Yes,True
98,2023-02-12,Suburban,Fraud,No,False
99,2023-02-12,Rural,Jaywalking,No,False
100,2023-02-12,Urban,Blackmail,No,False
101,2023-02-11,Rural,Blackmail,No,False
102,2023-02-11,Urban,Fraud,No,False
103,2023-02-11,Urban,Blackmail,No,False
104,2023-02-11,Suburban,Speeding,No,False
105,2023-02-11,Suburban,Speeding,No,False
106,2023-02-11,Suburban,Theft,No,False
107,2023-02-10,Rural,Theft,No,True
108,2023-02-10,Urban,Theft,Yes,False
109,2023-02-10,Urban,Jaywalking,No,False
110,2023-02-10,Suburban,Theft,No,False
111,2023-02-10,Urban,Fraud,No,False
112,2023-02-10,Suburban,Theft,No,True
113,2023-02-10,Rural,Theft,No,False
114,2023-02-10,Suburban,Speeding,No,False
115,2023-02-10,Urban,Fraud,No,False
116,2023-02-09,Urban,Jaywalking,No,False
117,2023-02-09,Urban,Jaywalking,No,False
118,2023-02-09,Urban,Fraud,Yes,False
119,2023-02-07,Urban,Speeding,No,False
120,2023-02-07,Suburban,Fraud,No,False
121,2023-02-07,Suburban,Car theft,No,False
122,2023-02-07,Rural,Theft,No,True
123,2023-02-07,Urban,Theft,No,False
124,2023-02-07,Suburban,Speeding,No,False
125,2023-02-07,Urban,Speeding,Yes,False
126,2023-02-07,Urban,Speeding,No,False
127,2023-02-07,Urban,Theft,No,True
128,2023-02-06,Urban,Theft,Yes,True
129,2023-02-06,Rural,Theft,No,True
130,2023-02-06,Urban,Jaywalking,Yes,False
131,2023-02-06,Urban,Jaywalking,No,False
132,2023-02-06,Urban,Speeding,No,False
133,2023-02-06,Urban,Fraud,No,False
134,2023-02-06,Urban,Speeding,No,False
135,2023-02-06,Rural,Jaywalking,No,False
136,2023-02-05,Urban,Jaywalking,No,False
137,2023-02-05,Suburban,Theft,No,False
138,2023-02-05,Urban,Speeding,No,False
139,2023-02-05,Suburban,Theft,No,False
140,2023-02-05,Suburban,Speeding,No,False
141,2023-02-05,Urban,Speeding,No,False
142,2023-02-05,Urban,Theft,No,True
143,2023-02-05,Urban,Theft,Yes,False
144,2023-02-05,Urban,Theft,Yes,False
145,2023-02-04,Suburban,Jaywalking,Yes,False
146,2023-02-04,Urban,Speeding,Yes,False
147,2023-02-04,Urban,Fraud,No,False
148,2023-02-04,Rural,Theft,Yes,True
149,2023-02-04,Suburban,Jaywalking,No,False
150,2023-02-04,Urban,Theft,No,False
151,2023-02-04,Urban,Theft,Yes,False
152,2023-02-03,Rural,Speeding,No,False
153,2023-02-03,Urban,Theft,No,True
154,2023-02-03,Suburban,Theft,No,True
155,2023-02-03,Urban,Blackmail,No,False
156,2023-02-03,Suburban,Speeding,Yes,False
157,2023-02-03,Urban,Theft,No,True
158,2023-02-03,Urban,Theft,No,True
159,2023-02-03,Urban,Jaywalking,No,False
160,2023-02-03,Urban,Theft,No,False
161,2023-02-02,Urban,Theft,No,False
162,2023-02-02,Urban,Theft,Yes,False
163,2023-02-02,Rural,Murder,No,True
164,2023-02-02,Suburban,Speeding,No,False
165,2023-02-02,Suburban,Theft,No,True
166,2023-02-02,Urban,Jaywalking,Yes,False
167,2023-02-02,Rural,Jaywalking,No,False
168,2023-02-02,Urban,Theft,No,True
169,2023-02-02,Rural,Blackmail,No,False
170,2023-02-02,Suburban,Theft,No,True
171,2023-02-01,Urban,Theft,Yes,True
172,2023-02-01,Suburban,Jaywalking,No,False
