,Age,Gender,GotPowers,SuperSerum,GotMutation
0,15,Male,1,1,0
1,50,Male,0,0,0
2,5,Male,1,0,0
3,21,Male,1,1,0
4,17,Male,1,0,0
5,43,Male,1,0,0
6,2,Female,1,1,0
7,34,Male,1,1,0
8,37,Female,1,1,0
9,16,Male,1,1,0
10,11,Male,1,0,0
11,27,Female,1,1,0
12,42,Male,1,0,0
13,34,Female,1,0,0
14,5,Female,1,0,0
15,49,Male,1,1,0
16,35,Female,1,0,0
17,18,Male,1,1,0
18,36,Male,1,1,0
19,18,Male,1,1,0
20,20,Male,1,1,0
21,33,Female,1,0,0
22,13,Female,1,1,0
23,2,Female,1,0,0
24,23,Male,1,0,0
25,36,Male,1,0,0
26,3,Female,1,0,0
27,23,Male,1,0,0
28,24,Male,1,0,0
29,16,Female,1,1,0
30,31,Male,0,0,0
31,25,Female,1,0,0
32,35,Male,0,0,0
33,27,Male,1,1,0
34,34,Male,1,0,0
35,32,Female,1,1,0
36,27,Female,1,0,0
37,40,Male,1,1,0
38,33,Female,0,1,0
39,25,Male,1,0,0
40,31,Male,1,0,0
41,2,Male,1,1,0
42,49,Female,1,0,0
43,24,Male,1,1,0
44,1,Male,1,1,0
45,32,Female,1,0,0
46,4,Male,1,1,0
47,32,Male,1,0,0
48,42,Male,1,1,0
49,9,Male,1,1,0
50,17,Female,1,0,0
51,36,Male,1,1,0
52,22,Female,1,0,0
53,33,Female,1,0,0
54,34,Male,1,0,0
55,50,Female,1,1,0
56,27,Male,1,1,0
57,14,Female,1,1,0
58,39,Male,1,1,0
59,3,Male,0,1,0
60,11,Female,1,0,0
61,15,Female,1,0,0
62,38,Male,1,1,0
63,34,Female,1,1,0
64,25,Male,1,0,0
65,5,Male,1,0,0
66,49,Male,1,0,0
67,25,Male,1,1,0
68,46,Female,1,0,0
69,4,Male,1,0,0
70,2,Male,1,0,0
71,18,Male,1,0,0
72,22,Female,1,0,0
73,32,Male,1,1,0
74,37,Male,1,0,0
75,15,Male,1,0,0
76,12,Female,1,0,0
77,37,Male,1,0,0
78,11,Male,1,0,0
79,44,Male,1,0,0
80,3,Male,1,0,0
81,9,Male,1,0,0
82,14,Male,1,1,0
83,41,Male,1,0,0
84,42,Male,1,1,0
85,45,Male,1,1,0
86,34,Female,1,0,0
87,35,Male,1,1,0
88,30,Male,1,1,0
89,11,Male,1,1,0
90,29,Male,1,0,0
91,30,Male,0,0,0
92,33,Male,1,1,0
93,14,Female,1,1,0
94,39,Male,1,0,0
95,12,Male,1,0,0
96,8,Male,1,1,0
97,39,Male,1,1,0
98,44,Male,1,0,0
99,9,Male,0,0,0
100,46,Male,1,0,0
101,37,Male,1,0,0
102,36,Male,1,1,0
103,40,Male,1,0,0
104,43,Female,1,0,0
105,5,Female,1,0,0
106,30,Male,1,1,0
107,10,Male,1,1,0
108,47,Male,1,0,0
109,3,Male,1,0,0
110,16,Female,1,0,0
111,28,Male,1,0,0
112,42,Male,1,0,0
113,30,Male,0,1,0
114,26,Female,1,0,0
115,33,Male,1,1,0
116,9,Male,1,1,0
117,35,Male,1,0,0
118,36,Male,1,0,0
119,4,Female,1,1,0
120,43,Male,1,0,0
121,2,Male,1,0,0
122,3,Male,1,1,0
123,15,Male,1,0,0
124,40,Male,1,1,0
125,1,Male,1,0,0
126,23,Male,1,0,0
127,28,Male,1,1,0
128,45,Female,0,0,0
129,7,Male,1,1,0
130,45,Male,1,1,0
131,18,Female,0,0,0
132,32,Male,1,1,0
133,17,Male,1,0,0
134,38,Female,1,0,0
135,1,Male,1,0,0
136,2,Male,0,0,0
137,32,Female,1,1,0
138,37,Male,1,1,0
139,13,Male,1,0,0
140,10,Female,0,1,0
141,20,Male,1,1,0
142,4,Male,1,0,0
143,15,Male,1,1,0
144,47,Female,1,1,0
145,37,Male,1,1,0
146,8,Male,1,1,0
147,45,Female,1,1,0
148,48,Male,1,0,0
149,33,Female,1,1,0
150,49,Male,1,1,0
151,16,Female,1,0,0
152,40,Male,1,0,0
153,48,Female,1,1,0
154,28,Male,1,1,0
155,16,Female,1,0,0
156,14,Male,1,1,0
157,8,Male,1,0,0
158,17,Male,1,1,0
159,22,Male,1,1,0
160,7,Male,1,0,0
161,11,Female,1,0,0
162,22,Female,1,0,0
163,50,Male,1,0,0
164,44,Male,1,0,0
165,40,Male,1,1,0
166,16,Male,1,0,0
167,8,Male,1,0,0
168,15,Male,1,0,0
169,36,Male,0,0,0
170,34,Female,1,0,0
171,11,Male,1,0,0
172,18,Male,1,1,0
173,38,Male,1,0,0
174,3,Male,1,0,0
175,12,Male,1,1,0
176,15,Male,1,0,0
177,7,Male,1,0,0
178,22,Male,1,0,0
179,23,Male,1,1,0
180,10,Female,1,1,0
181,24,Male,1,0,0
182,28,Male,1,0,0
183,24,Female,1,0,0
184,8,Female,1,1,0
185,22,Male,1,0,0
186,15,Male,1,1,0
187,34,Male,1,0,0
188,40,Male,1,1,0
189,45,Male,1,0,0
190,38,Female,1,1,0
191,8,Male,1,0,0
192,39,Female,1,1,0
193,13,Female,1,0,0
194,34,Male,1,1,0
195,5,Male,1,1,0
196,18,Male,1,0,0
197,9,Male,1,0,0
198,19,Female,1,0,0
199,42,Female,1,0,0
