,Age,Gender,Profession,Income,Job_Sat
0,56,Male,Unemployed,0,3
1,49,Male,Unemployed,0,3
2,30,Male,Unemployed,0,4
3,38,Male,Unemployed,3700.764831,0
4,55,Male,Unemployed,5555.823704,2
5,52,Male,Unemployed,0,5
6,44,Male,Unemployed,7222.011737,2
7,55,Female,Office_Job,41951.35008,2
8,50,Female,Manual_Labor,2073.42536,1
9,40,Male,Office_Job,54519.86001,3
10,33,Male,Manual_Labor,20010.20453,0
11,47,Male,Unemployed,0,2
12,45,Male,Unemployed,0,2
13,40,Male,RichDaddy,992225.969,0
14,48,Male,Manual_Labor,5978.3874,2
15,20,Female,Manual_Labor,20435.61649,2
16,47,Female,Finance,506037.5816,5
17,54,Male,Unemployed,6242.092048,5
18,19,Female,Finance,496932.3443,0
19,44,Male,Manual_Labor,13262.90775,5
20,28,Female,Finance,496035.3533,0
21,31,Female,Unemployed,7096.535467,1
22,26,Female,Manual_Labor,10408.69184,1
23,52,Male,Unemployed,3753.39415,5
24,19,Male,Unemployed,4872.6085,5
25,19,Female,Manual_Labor,15522.33193,1
26,45,Male,Manual_Labor,23112.96392,2
27,58,Male,Unemployed,2738.054028,5
28,37,Male,Unemployed,0,3
29,36,Female,Unemployed,512.3732319,2
30,23,Male,Unemployed,7064.353296,4
31,29,Male,Office_Job,48625.14857,5
32,60,Male,Office_Job,45895.48372,3
33,59,Male,Office_Job,47184.00376,3
34,28,Female,Office_Job,51678.34881,0
35,53,Male,Unemployed,0,0
36,40,Female,Manual_Labor,12567.8923,2
37,27,Female,Office_Job,51782.79662,2
38,42,Male,Unemployed,0,4
39,51,Female,Unemployed,0,0
40,41,Female,RichDaddy,998691.5147,5
41,23,Male,Manual_Labor,15535.85718,2
42,20,Male,Unemployed,0,2
43,56,Female,Manual_Labor,11703.06944,4
44,56,Female,Finance,498442.9465,5
45,45,Female,Manual_Labor,9507.750846,4
46,26,Male,Finance,502286.1568,5
47,30,Female,Unemployed,2225.341401,1
48,33,Male,Unemployed,1335.884161,4
49,45,Female,Unemployed,0,1
50,22,Female,Unemployed,0,4
51,45,Male,Office_Job,51496.04612,0
52,36,Male,Office_Job,52473.32812,5
53,27,Female,Manual_Labor,10513.6098,0
54,49,Female,Manual_Labor,13595.96416,3
55,50,Male,Office_Job,54393.40182,0
56,46,Male,Manual_Labor,16772.62784,4
57,36,Female,Unemployed,8000.811691,5
58,21,Male,Manual_Labor,20842.39343,3
59,29,Female,Office_Job,47810.81423,0
60,36,Male,Manual_Labor,22025.98825,3
61,48,Male,Office_Job,45786.75773,3
62,39,Female,Manual_Labor,17777.65153,0
63,57,Male,Manual_Labor,8094.060113,2
64,20,Male,Office_Job,41469.92544,1
65,53,Female,Office_Job,52647.89153,2
66,48,Male,Manual_Labor,17430.46285,4
67,18,Male,Manual_Labor,6063.49949,1
68,35,Female,Office_Job,49781.08284,3
69,35,Male,Office_Job,51513.48812,5
70,28,Male,Finance,501180.6577,5
71,46,Female,Unemployed,1016.987485,3
72,36,Female,Manual_Labor,237.835493,3
73,45,Female,Manual_Labor,18156.77548,0
74,37,Male,Manual_Labor,18313.32688,5
75,24,Female,Office_Job,54236.51466,5
76,25,Male,Manual_Labor,17814.20399,4
77,34,Female,Unemployed,0,3
78,59,Female,Manual_Labor,19150.04007,2
79,47,Male,Manual_Labor,21059.44909,2
80,34,Female,Unemployed,0,1
81,40,Male,Unemployed,4359.798577,2
82,26,Female,Unemployed,0,2
83,20,Female,Office_Job,60077.75846,3
84,23,Female,Manual_Labor,18230.62242,3
85,49,Male,Finance,504058.3103,2
86,33,Female,Office_Job,49495.36451,5
87,40,Male,Office_Job,65379.43273,3
88,47,Male,Unemployed,1707.18681,5
89,41,Male,Unemployed,7675.448064,2
90,33,Male,Unemployed,841.8070467,3
91,45,Female,Finance,489781.2276,1
92,28,Male,Office_Job,56902.76232,0
93,20,Female,Manual_Labor,16337.42828,3
94,44,Male,Office_Job,50208.40884,5
95,31,Male,Office_Job,61952.1362,5
96,25,Male,Unemployed,695.0785312,2
97,40,Female,Office_Job,45313.51375,4
98,51,Male,Manual_Labor,8588.102643,3
99,34,Male,Manual_Labor,5427.110919,1
100,55,Female,Finance,496218.5069,0
101,49,Female,Manual_Labor,7580.19702,1
102,57,Female,Office_Job,50116.93177,1
103,46,Female,Office_Job,49728.73744,4
104,19,Female,Manual_Labor,21152.16062,1
105,25,Male,Manual_Labor,21105.57618,5
106,38,Male,Manual_Labor,9357.644279,0
107,54,Female,Office_Job,55726.57329,1
108,21,Male,RichDaddy,998153.8831,5
109,39,Female,Manual_Labor,23363.73617,5
110,38,Male,Unemployed,0,3
111,51,Female,Office_Job,50228.03554,2
112,48,Female,Manual_Labor,14230.79936,1
113,36,Male,Office_Job,38667.38139,5
114,44,Male,Office_Job,53061.55147,2
115,35,Female,Finance,490638.4027,4
116,26,Male,Office_Job,50162.20927,2
117,49,Female,RichDaddy,1002536.196,2
118,56,Female,Office_Job,47639.71714,3
119,53,Female,Manual_Labor,12263.29346,3
120,41,Male,Office_Job,51778.01216,1
121,23,Female,Unemployed,2334.895435,0
122,39,Male,Unemployed,9547.73486,1
123,47,Female,Unemployed,3484.636123,1
124,21,Female,Manual_Labor,16385.4156,4
125,33,Male,Unemployed,0,3
126,52,Male,Office_Job,48708.84109,1
127,35,Male,Manual_Labor,22778.73489,5
128,30,Female,Finance,503049.7407,5
